update_id,program_id,data_tool,update_type,records_pending,completeness_pct,blocker,recommended_next_step
UPD0052,UP037,Program Tracker,refresh stale field,192,100,late client file,refresh benchmark comparison
UPD0053,UP038,Measure Insights,refresh stale field,61,97.2,none,refresh benchmark comparison
UPD0054,UP014,Research Library,publish summary,207,88.9,late client file,hold for SME review
UPD0055,UP023,Research Library,publish summary,22,78.6,none,publish with caveat
UPD0056,UP026,Program Tracker,reconcile source conflict,112,74.3,SME review,refresh benchmark comparison
UPD0057,UP010,Research Library,refresh stale field,256,88.5,none,hold for SME review
UPD0058,UP014,Research Library,document definition,9,87.7,none,update tool after citation check
UPD0059,UP040,DSM Benchmark,populate new row,137,69.5,late client file,refresh benchmark comparison
UPD0060,UP018,Utility Data Exchange,publish summary,74,81.6,SME review,update tool after citation check
UPD0061,UP022,DSM Benchmark,reconcile source conflict,79,81.6,none,update tool after citation check
UPD0062,UP008,Measure Insights,refresh stale field,121,79.6,conflicting sources,hold for SME review
UPD0063,UP033,Program Tracker,publish summary,13,94.8,conflicting sources,publish with caveat
UPD0064,UP030,Measure Insights,document definition,33,100,SME review,hold for SME review
UPD0065,UP002,Measure Insights,document definition,42,69.3,none,update tool after citation check
UPD0066,UP023,Research Library,publish summary,101,75.9,missing citation,hold for SME review
UPD0067,UP017,Utility Data Exchange,reconcile source conflict,72,84.3,SME review,hold for SME review
UPD0068,UP007,Measure Insights,refresh stale field,209,89.5,none,publish with caveat
UPD0069,UP009,Program Tracker,populate new row,79,92.7,conflicting sources,publish with caveat
UPD0070,UP014,Research Library,document definition,207,86.2,missing citation,publish with caveat
UPD0071,UP027,Utility Data Exchange,reconcile source conflict,116,88.3,SME review,publish with caveat
UPD0072,UP026,Program Tracker,document definition,232,89.4,none,update tool after citation check
UPD0073,UP038,Measure Insights,publish summary,179,80.7,none,publish with caveat
UPD0074,UP036,Utility Data Exchange,document definition,231,83.5,none,refresh benchmark comparison
UPD0075,UP040,DSM Benchmark,refresh stale field,259,86.9,SME review,publish with caveat
UPD0076,UP037,Program Tracker,document definition,133,91.4,late client file,refresh benchmark comparison
UPD0077,UP027,Utility Data Exchange,refresh stale field,253,68.4,SME review,refresh benchmark comparison
UPD0078,UP040,DSM Benchmark,refresh stale field,158,70.5,none,publish with caveat
UPD0079,UP013,DSM Benchmark,populate new row,223,88.9,conflicting sources,send source question to owner
UPD0080,UP042,Research Library,document definition,129,100,none,send source question to owner
UPD0081,UP006,Program Tracker,publish summary,70,88.3,SME review,publish with caveat
UPD0082,UP034,Program Tracker,populate new row,12,90.1,missing citation,publish with caveat
UPD0083,UP032,Measure Insights,reconcile source conflict,65,79.1,SME review,send source question to owner
UPD0084,UP036,Utility Data Exchange,refresh stale field,192,77.7,missing citation,refresh benchmark comparison
UPD0085,UP033,Program Tracker,reconcile source conflict,203,75.4,late client file,refresh benchmark comparison
UPD0086,UP032,Measure Insights,reconcile source conflict,72,84.2,none,hold for SME review
UPD0087,UP033,Program Tracker,populate new row,116,88.3,none,update tool after citation check
UPD0088,UP010,Research Library,publish summary,190,87.8,missing citation,send source question to owner
UPD0089,UP022,DSM Benchmark,refresh stale field,255,100,conflicting sources,hold for SME review
UPD0090,UP036,Utility Data Exchange,document definition,237,94.2,SME review,update tool after citation check
UPD0091,UP005,DSM Benchmark,publish summary,253,75.1,late client file,refresh benchmark comparison
UPD0092,UP021,Measure Insights,publish summary,132,88.6,none,refresh benchmark comparison
UPD0093,UP027,Utility Data Exchange,populate new row,21,85.5,SME review,refresh benchmark comparison
UPD0094,UP021,Measure Insights,refresh stale field,26,94.9,none,publish with caveat
UPD0095,UP014,Research Library,refresh stale field,9,75.6,missing citation,send source question to owner
UPD0096,UP009,Program Tracker,document definition,37,100,none,refresh benchmark comparison
UPD0097,UP010,Research Library,document definition,205,78.4,none,send source question to owner
UPD0098,UP016,Research Library,document definition,151,99.4,none,update tool after citation check
UPD0099,UP010,Research Library,document definition,168,80.8,SME review,update tool after citation check
UPD0100,UP009,Program Tracker,publish summary,183,100,none,update tool after citation check
UPD0101,UP005,DSM Benchmark,refresh stale field,179,76.1,none,refresh benchmark comparison
UPD0102,UP010,Research Library,refresh stale field,125,100,none,publish with caveat
UPD0103,UP008,Measure Insights,reconcile source conflict,17,81.2,none,update tool after citation check
UPD0104,UP006,Program Tracker,publish summary,33,84.4,none,publish with caveat
UPD0105,UP038,Measure Insights,publish summary,43,68.7,SME review,update tool after citation check
UPD0106,UP022,DSM Benchmark,document definition,130,85.5,none,update tool after citation check
UPD0107,UP014,Research Library,refresh stale field,249,85.7,SME review,hold for SME review
UPD0108,UP018,Utility Data Exchange,reconcile source conflict,42,76.6,late client file,publish with caveat
UPD0109,UP030,Measure Insights,populate new row,159,80.8,conflicting sources,publish with caveat
UPD0110,UP014,Research Library,populate new row,250,70.2,none,send source question to owner
UPD0111,UP011,Measure Insights,refresh stale field,39,80.1,SME review,publish with caveat
UPD0112,UP016,Research Library,publish summary,18,100,missing citation,hold for SME review
UPD0113,UP020,Measure Insights,refresh stale field,27,85.8,none,publish with caveat
UPD0114,UP027,Utility Data Exchange,refresh stale field,143,76.9,conflicting sources,refresh benchmark comparison
UPD0115,UP010,Research Library,document definition,110,87.1,none,hold for SME review
UPD0116,UP040,DSM Benchmark,publish summary,146,73.7,SME review,publish with caveat
UPD0117,UP033,Program Tracker,reconcile source conflict,216,63.1,none,refresh benchmark comparison
UPD0118,UP007,Measure Insights,document definition,251,91.3,SME review,publish with caveat
UPD0119,UP010,Research Library,refresh stale field,162,91.1,none,update tool after citation check
UPD0120,UP042,Research Library,populate new row,222,100,missing citation,refresh benchmark comparison
UPD0121,UP004,Utility Data Exchange,refresh stale field,175,56.7,missing citation,refresh benchmark comparison
UPD0122,UP041,Program Tracker,document definition,233,88.8,none,refresh benchmark comparison
UPD0123,UP028,DSM Benchmark,refresh stale field,88,91.5,none,hold for SME review
UPD0124,UP025,DSM Benchmark,populate new row,163,72.8,none,update tool after citation check
UPD0125,UP002,Measure Insights,refresh stale field,13,68.2,missing citation,publish with caveat
UPD0126,UP019,Utility Data Exchange,populate new row,246,88.5,missing citation,publish with caveat
UPD0127,UP001,Utility Data Exchange,publish summary,47,62.5,none,publish with caveat
UPD0128,UP034,Program Tracker,publish summary,191,91.3,SME review,publish with caveat
UPD0129,UP005,DSM Benchmark,refresh stale field,233,79.7,none,send source question to owner
UPD0130,UP024,Research Library,publish summary,199,92.3,conflicting sources,refresh benchmark comparison
UPD0131,UP040,DSM Benchmark,populate new row,220,75.1,none,update tool after citation check
UPD0132,UP035,DSM Benchmark,refresh stale field,40,85.9,SME review,hold for SME review
UPD0133,UP003,Program Tracker,refresh stale field,233,87.6,late client file,send source question to owner
UPD0134,UP026,Program Tracker,refresh stale field,60,70.3,missing citation,update tool after citation check
UPD0135,UP029,Program Tracker,reconcile source conflict,7,75.8,conflicting sources,publish with caveat
UPD0136,UP007,Measure Insights,populate new row,85,90.2,conflicting sources,update tool after citation check
