request_id,program_id,program_area,request_type,audience,due_date,triage_score,source_need,status,recommended_response
REQ0055,UP005,Small business direct install,data pull,utility client,2026-06-12,29.1,primary utility filing plus benchmark comparison,in progress,Prepare analyst-ready evidence pack
REQ0026,UP042,Transportation electrification,webinar exhibit,subject matter expert,2026-06-09,26.0,program history and participation trend,new,Prepare analyst-ready evidence pack
REQ0012,UP019,Heat pump adoption,data pull,utility client,2026-06-25,25.8,client spreadsheet reconciliation,in progress,Prepare analyst-ready evidence pack
REQ0044,UP019,Heat pump adoption,client question,internal analyst,2026-06-15,25.8,primary utility filing plus benchmark comparison,triaged,Send concise finding with source note
REQ0066,UP007,Residential weatherization,webinar exhibit,utility client,2026-06-25,25.4,client spreadsheet reconciliation,triaged,Prepare analyst-ready evidence pack
REQ0094,UP007,Residential weatherization,report update,internal analyst,2026-06-15,25.4,program history and participation trend,new,Prepare analyst-ready evidence pack
REQ0034,UP012,Small business direct install,report update,utility client,2026-06-14,22.5,primary utility filing plus benchmark comparison,triaged,Prepare analyst-ready evidence pack
REQ0002,UP041,Heat pump adoption,data pull,subject matter expert,2026-06-18,21.8,primary utility filing plus benchmark comparison,triaged,Prepare analyst-ready evidence pack
REQ0031,UP041,Heat pump adoption,article support,subject matter expert,2026-06-23,21.8,client spreadsheet reconciliation,in progress,Prepare analyst-ready evidence pack
REQ0040,UP041,Heat pump adoption,webinar exhibit,subject matter expert,2026-06-16,21.8,survey notes with page references,ready,Prepare analyst-ready evidence pack
REQ0038,UP011,Small business direct install,data pull,utility client,2026-06-12,20.4,primary utility filing plus benchmark comparison,ready,Prepare analyst-ready evidence pack
REQ0080,UP031,Income-qualified efficiency,report update,utility client,2026-06-16,19.6,survey notes with page references,new,Prepare analyst-ready evidence pack
REQ0062,UP011,Small business direct install,article support,subject matter expert,2026-06-15,17.2,client spreadsheet reconciliation,new,Prepare analyst-ready evidence pack
REQ0029,UP042,Transportation electrification,data pull,internal analyst,2026-06-24,13.2,primary utility filing plus benchmark comparison,triaged,Prepare analyst-ready evidence pack
