update_id,program_id,data_tool,update_type,records_pending,completeness_pct,blocker,priority_score,recommended_next_step
UPD0088,UP010,Research Library,publish summary,190,87.8,missing citation,56.8,send source question to owner
UPD0036,UP010,Research Library,refresh stale field,183,91.0,conflicting sources,56.8,send source question to owner
UPD0099,UP010,Research Library,document definition,168,80.8,SME review,56.8,update tool after citation check
UPD0119,UP010,Research Library,refresh stale field,162,91.1,none,56.8,update tool after citation check
UPD0102,UP010,Research Library,refresh stale field,125,100,none,56.8,publish with caveat
UPD0115,UP010,Research Library,document definition,110,87.1,none,56.8,hold for SME review
UPD0062,UP008,Measure Insights,refresh stale field,121,79.6,conflicting sources,56.5,hold for SME review
UPD0103,UP008,Measure Insights,reconcile source conflict,17,81.2,none,56.5,update tool after citation check
UPD0003,UP002,Measure Insights,populate new row,186,73.2,late client file,55.8,update tool after citation check
UPD0011,UP002,Measure Insights,publish summary,146,65.5,late client file,55.8,hold for SME review
UPD0065,UP002,Measure Insights,document definition,42,69.3,none,55.8,update tool after citation check
UPD0125,UP002,Measure Insights,refresh stale field,13,68.2,missing citation,55.8,publish with caveat
UPD0123,UP028,DSM Benchmark,refresh stale field,88,91.5,none,48.3,hold for SME review
UPD0008,UP028,DSM Benchmark,populate new row,70,89.8,SME review,48.3,send source question to owner
UPD0029,UP028,DSM Benchmark,document definition,68,92.2,missing citation,48.3,send source question to owner
UPD0032,UP028,DSM Benchmark,reconcile source conflict,42,86.6,none,48.3,update tool after citation check
UPD0091,UP005,DSM Benchmark,publish summary,253,75.1,late client file,47.1,refresh benchmark comparison
UPD0129,UP005,DSM Benchmark,refresh stale field,233,79.7,none,47.1,send source question to owner
UPD0101,UP005,DSM Benchmark,refresh stale field,179,76.1,none,47.1,refresh benchmark comparison
UPD0126,UP019,Utility Data Exchange,populate new row,246,88.5,missing citation,46.9,publish with caveat
UPD0002,UP019,Utility Data Exchange,reconcile source conflict,233,100,missing citation,46.9,refresh benchmark comparison
UPD0025,UP019,Utility Data Exchange,publish summary,186,78.8,none,46.9,publish with caveat
UPD0042,UP019,Utility Data Exchange,reconcile source conflict,115,94.9,none,46.9,hold for SME review
UPD0118,UP007,Measure Insights,document definition,251,91.3,SME review,46.1,publish with caveat
UPD0068,UP007,Measure Insights,refresh stale field,209,89.5,none,46.1,publish with caveat
UPD0136,UP007,Measure Insights,populate new row,85,90.2,conflicting sources,46.1,update tool after citation check
UPD0016,UP012,Measure Insights,publish summary,233,97.7,SME review,40.9,publish with caveat
UPD0122,UP041,Program Tracker,document definition,233,88.8,none,39.7,refresh benchmark comparison
UPD0040,UP011,Measure Insights,reconcile source conflict,54,90.8,none,31.2,send source question to owner
UPD0111,UP011,Measure Insights,refresh stale field,39,80.1,SME review,31.2,publish with caveat
UPD0100,UP009,Program Tracker,publish summary,183,100,none,31.1,update tool after citation check
UPD0069,UP009,Program Tracker,populate new row,79,92.7,conflicting sources,31.1,publish with caveat
UPD0096,UP009,Program Tracker,document definition,37,100,none,31.1,refresh benchmark comparison
UPD0120,UP042,Research Library,populate new row,222,100,missing citation,24.0,refresh benchmark comparison
UPD0033,UP042,Research Library,refresh stale field,165,100,none,24.0,send source question to owner
UPD0080,UP042,Research Library,document definition,129,100,none,24.0,send source question to owner
UPD0027,UP042,Research Library,publish summary,127,97.2,conflicting sources,24.0,hold for SME review
